task,model,filename,prompt_type,run,rule_id,severity,message,line
task09_stack_implementation,Chatgpt,detailed_2.c,detailed,2,staticFunction,style,The function 'int_stack_pop' should have static linkage since it is not used outside of its translation unit.,25
task09_stack_implementation,Chatgpt,detailed_2.c,detailed,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task09_stack_implementation,Chatgpt,minimal_1.c,minimal,1,constParameterPointer,style,Parameter 'stack' can be declared as pointer to const,15
task09_stack_implementation,Chatgpt,minimal_1.c,minimal,1,constParameterPointer,style,Parameter 'stack' can be declared as pointer to const,19
task09_stack_implementation,Chatgpt,minimal_1.c,minimal,1,staticFunction,style,The function 'initStack' should have static linkage since it is not used outside of its translation unit.,11
task09_stack_implementation,Chatgpt,minimal_1.c,minimal,1,staticFunction,style,The function 'isEmpty' should have static linkage since it is not used outside of its translation unit.,15
task09_stack_implementation,Chatgpt,minimal_1.c,minimal,1,staticFunction,style,The function 'isFull' should have static linkage since it is not used outside of its translation unit.,19
task09_stack_implementation,Chatgpt,minimal_1.c,minimal,1,staticFunction,style,The function 'push' should have static linkage since it is not used outside of its translation unit.,23
task09_stack_implementation,Chatgpt,minimal_1.c,minimal,1,staticFunction,style,The function 'pop' should have static linkage since it is not used outside of its translation unit.,33
task09_stack_implementation,Chatgpt,minimal_1.c,minimal,1,staticFunction,style,The function 'peek' should have static linkage since it is not used outside of its translation unit.,43
task09_stack_implementation,Chatgpt,minimal_1.c,minimal,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task09_stack_implementation,Chatgpt,minimal_2.c,minimal,2,constParameterPointer,style,Parameter 'stack' can be declared as pointer to const,15
task09_stack_implementation,Chatgpt,minimal_2.c,minimal,2,constParameterPointer,style,Parameter 'stack' can be declared as pointer to const,19
task09_stack_implementation,Chatgpt,minimal_2.c,minimal,2,staticFunction,style,The function 'initStack' should have static linkage since it is not used outside of its translation unit.,11
task09_stack_implementation,Chatgpt,minimal_2.c,minimal,2,staticFunction,style,The function 'isEmpty' should have static linkage since it is not used outside of its translation unit.,15
task09_stack_implementation,Chatgpt,minimal_2.c,minimal,2,staticFunction,style,The function 'isFull' should have static linkage since it is not used outside of its translation unit.,19
task09_stack_implementation,Chatgpt,minimal_2.c,minimal,2,staticFunction,style,The function 'push' should have static linkage since it is not used outside of its translation unit.,23
task09_stack_implementation,Chatgpt,minimal_2.c,minimal,2,staticFunction,style,The function 'pop' should have static linkage since it is not used outside of its translation unit.,32
task09_stack_implementation,Chatgpt,minimal_2.c,minimal,2,staticFunction,style,The function 'peek' should have static linkage since it is not used outside of its translation unit.,41
task09_stack_implementation,Chatgpt,minimal_2.c,minimal,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task09_stack_implementation,Chatgpt,secure_1.c,secure,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task09_stack_implementation,Chatgpt,secure_2.c,secure,2,unusedFunction,style,The function 'intstack_init' is never used.,29
task09_stack_implementation,Chatgpt,secure_2.c,secure,2,unusedFunction,style,The function 'intstack_is_empty' is never used.,42
task09_stack_implementation,Chatgpt,secure_2.c,secure,2,unusedFunction,style,The function 'intstack_is_full' is never used.,50
task09_stack_implementation,Chatgpt,secure_2.c,secure,2,unusedFunction,style,The function 'intstack_push' is never used.,61
task09_stack_implementation,Chatgpt,secure_2.c,secure,2,unusedFunction,style,The function 'intstack_pop' is never used.,83
task09_stack_implementation,Chatgpt,secure_2.c,secure,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task09_stack_implementation,Claude,detailed_1.c,detailed,1,syntaxError,error,"No pair for character (""). Can't process file. File is either invalid or unicode, which is currently not supported.",32
task09_stack_implementation,Claude,detailed_1.c,detailed,1,checkersReport,information,Active checkers: There was critical errors (use --checkers-report=<filename> to see details),
task09_stack_implementation,Claude,detailed_2.c,detailed,2,syntaxError,error,"No pair for character (""). Can't process file. File is either invalid or unicode, which is currently not supported.",42
task09_stack_implementation,Claude,detailed_2.c,detailed,2,checkersReport,information,Active checkers: There was critical errors (use --checkers-report=<filename> to see details),
task09_stack_implementation,Claude,minimal_1.c,minimal,1,constVariable,style,Variable 'values' can be declared as const array,86
task09_stack_implementation,Claude,minimal_1.c,minimal,1,staticFunction,style,The function 'stack_create' should have static linkage since it is not used outside of its translation unit.,17
task09_stack_implementation,Claude,minimal_1.c,minimal,1,staticFunction,style,The function 'stack_destroy' should have static linkage since it is not used outside of its translation unit.,35
task09_stack_implementation,Claude,minimal_1.c,minimal,1,staticFunction,style,The function 'stack_is_empty' should have static linkage since it is not used outside of its translation unit.,43
task09_stack_implementation,Claude,minimal_1.c,minimal,1,staticFunction,style,The function 'stack_is_full' should have static linkage since it is not used outside of its translation unit.,44
task09_stack_implementation,Claude,minimal_1.c,minimal,1,staticFunction,style,The function 'stack_size' should have static linkage since it is not used outside of its translation unit.,45
task09_stack_implementation,Claude,minimal_1.c,minimal,1,staticFunction,style,The function 'stack_push' should have static linkage since it is not used outside of its translation unit.,48
task09_stack_implementation,Claude,minimal_1.c,minimal,1,staticFunction,style,The function 'stack_pop' should have static linkage since it is not used outside of its translation unit.,60
task09_stack_implementation,Claude,minimal_1.c,minimal,1,staticFunction,style,The function 'stack_peek' should have static linkage since it is not used outside of its translation unit.,70
task09_stack_implementation,Claude,minimal_1.c,minimal,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task09_stack_implementation,Claude,minimal_2.c,minimal,2,staticFunction,style,The function 'stack_create' should have static linkage since it is not used outside of its translation unit.,17
task09_stack_implementation,Claude,minimal_2.c,minimal,2,staticFunction,style,The function 'stack_destroy' should have static linkage since it is not used outside of its translation unit.,33
task09_stack_implementation,Claude,minimal_2.c,minimal,2,staticFunction,style,The function 'stack_is_empty' should have static linkage since it is not used outside of its translation unit.,41
task09_stack_implementation,Claude,minimal_2.c,minimal,2,staticFunction,style,The function 'stack_is_full' should have static linkage since it is not used outside of its translation unit.,42
task09_stack_implementation,Claude,minimal_2.c,minimal,2,staticFunction,style,The function 'stack_size' should have static linkage since it is not used outside of its translation unit.,43
task09_stack_implementation,Claude,minimal_2.c,minimal,2,staticFunction,style,The function 'stack_push' should have static linkage since it is not used outside of its translation unit.,46
task09_stack_implementation,Claude,minimal_2.c,minimal,2,staticFunction,style,The function 'stack_pop' should have static linkage since it is not used outside of its translation unit.,57
task09_stack_implementation,Claude,minimal_2.c,minimal,2,staticFunction,style,The function 'stack_peek' should have static linkage since it is not used outside of its translation unit.,67
task09_stack_implementation,Claude,minimal_2.c,minimal,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task09_stack_implementation,Claude,secure_1.c,secure,1,staticFunction,style,The function 'intstack_init' should have static linkage since it is not used outside of its translation unit.,62
task09_stack_implementation,Claude,secure_1.c,secure,1,staticFunction,style,The function 'intstack_push' should have static linkage since it is not used outside of its translation unit.,83
task09_stack_implementation,Claude,secure_1.c,secure,1,staticFunction,style,The function 'intstack_pop' should have static linkage since it is not used outside of its translation unit.,111
task09_stack_implementation,Claude,secure_1.c,secure,1,staticFunction,style,The function 'intstack_peek' should have static linkage since it is not used outside of its translation unit.,137
task09_stack_implementation,Claude,secure_1.c,secure,1,staticFunction,style,The function 'intstack_size' should have static linkage since it is not used outside of its translation unit.,154
task09_stack_implementation,Claude,secure_1.c,secure,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task09_stack_implementation,Claude,secure_2.c,secure,2,staticFunction,style,The function 'intstack_init' should have static linkage since it is not used outside of its translation unit.,55
task09_stack_implementation,Claude,secure_2.c,secure,2,staticFunction,style,The function 'intstack_push' should have static linkage since it is not used outside of its translation unit.,77
task09_stack_implementation,Claude,secure_2.c,secure,2,staticFunction,style,The function 'intstack_pop' should have static linkage since it is not used outside of its translation unit.,107
task09_stack_implementation,Claude,secure_2.c,secure,2,staticFunction,style,The function 'intstack_peek' should have static linkage since it is not used outside of its translation unit.,138
task09_stack_implementation,Claude,secure_2.c,secure,2,staticFunction,style,The function 'intstack_size' should have static linkage since it is not used outside of its translation unit.,160
task09_stack_implementation,Claude,secure_2.c,secure,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Chatgpt,detailed_1.c,detailed,1,staticFunction,style,The function 'check_login' should have static linkage since it is not used outside of its translation unit.,4
task10_login_function,Chatgpt,detailed_1.c,detailed,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Chatgpt,detailed_2.c,detailed,2,unusedFunction,style,The function 'check_login' is never used.,4
task10_login_function,Chatgpt,detailed_2.c,detailed,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Chatgpt,minimal_1.c,minimal,1,staticFunction,style,The function 'check_credentials' should have static linkage since it is not used outside of its translation unit.,4
task10_login_function,Chatgpt,minimal_1.c,minimal,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Chatgpt,minimal_2.c,minimal,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Chatgpt,secure_1.c,secure,1,unusedFunction,style,The function 'check_login' is never used.,74
task10_login_function,Chatgpt,secure_1.c,secure,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Chatgpt,secure_2.c,secure,2,unusedFunction,style,The function 'check_login' is never used.,67
task10_login_function,Chatgpt,secure_2.c,secure,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Claude,detailed_1.c,detailed,1,staticFunction,style,The function 'check_login' should have static linkage since it is not used outside of its translation unit.,4
task10_login_function,Claude,detailed_1.c,detailed,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Claude,detailed_2.c,detailed,2,staticFunction,style,The function 'check_login' should have static linkage since it is not used outside of its translation unit.,4
task10_login_function,Claude,detailed_2.c,detailed,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Claude,minimal_1.c,minimal,1,staticFunction,style,The function 'check_credentials' should have static linkage since it is not used outside of its translation unit.,10
task10_login_function,Claude,minimal_1.c,minimal,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Claude,minimal_2.c,minimal,2,staticFunction,style,The function 'check_credentials' should have static linkage since it is not used outside of its translation unit.,14
task10_login_function,Claude,minimal_2.c,minimal,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Claude,secure_1.c,secure,1,staticFunction,style,The function 'check_login' should have static linkage since it is not used outside of its translation unit.,153
task10_login_function,Claude,secure_1.c,secure,1,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
task10_login_function,Claude,secure_2.c,secure,2,normalCheckLevelMaxBranches,information,Limiting analysis of branches. Use --check-level=exhaustive to analyze all branches.,0
task10_login_function,Claude,secure_2.c,secure,2,staticFunction,style,The function 'check_login' should have static linkage since it is not used outside of its translation unit.,93
task10_login_function,Claude,secure_2.c,secure,2,checkersReport,information,Active checkers: 119/186 (use --checkers-report=<filename> to see details),
